Company Name,Blurb,Company Link,Founders,LinkedIn Links,Founded,Team Size,Location
HyLight,"Small unmanned hydrogen airships for
                            long range monitoring",https://www.ycombinator.com/companies/hylight,"['Thomas Laporte', 'Martin Bocken', 'Josef Rokusek']","['https://www.linkedin.com/company/hylightaero', 'https://www.linkedin.com/in/thomaslaporte/', 'https://www.linkedin.com/in/martin-bocken/', 'https://www.linkedin.com/in/josef-rokusek/']",2022,9,"Paris, France"
Keeling Labs,"We develop ML that optimizes how
                            batteries in the grid store energy",https://www.ycombinator.com/companies/keeling-labs,"[""Jack O'Grady""]","['https://www.linkedin.com/company/keeling-labs/', 'https://www.linkedin.com/in/jackogrady/']",2022,2,"Los Angeles, CA"
Byterat,"Modern data platform for battery
                            science",https://www.ycombinator.com/companies/byterat,['Penelope Jones'],"['https://www.linkedin.com/company/byterat/', 'https://www.linkedin.com/in/penelope-jones-396a94105/']",2021,6,San Francisco
Wand Solar,"We enable landlords to generate
                            income from solar panels.",https://www.ycombinator.com/companies/wand-solar,"['Idan Shahar', 'Itai Peri']","['https://www.linkedin.com/company/wandsolar/', 'https://www.linkedin.com/in/idan-shahar/', 'https://www.linkedin.com/in/itayperry/']",2023,2,"Tel Aviv-Yafo, Israel"
Maverick BioMetals,"Expanding Metal Production with
                            Biology",https://www.ycombinator.com/companies/maverick-biometals,"['Eric Herrera', 'Jesse Evans']","['https://www.linkedin.com/company/maverick-biometals/', 'http://www.linkedin.com/in/eric-herrera-9784a0174', 'https://www.linkedin.com/in/jesse-evans/']",2022,9,"San Antonio, TX"
Evoly,"Smart electric & water meters as
                            a service",https://www.ycombinator.com/companies/evoly,"['Hassan Lantry', 'Sami El Bouari']","['https://www.linkedin.com/company/evolyenergy/', 'https://www.linkedin.com/in/hassan-lantry-008698108/', 'https://www.linkedin.com/in/sami-el-bouari/']",2021,4,"Remote, OR"
ALT TEX,"Biodegradable and carbon neutral
                            textiles, engineered from food waste.",https://www.ycombinator.com/companies/alt-tex,"['Myra Arshad', 'Avneet Ghotra']","['https://www.linkedin.com/company/alt-tex/', 'https://www.linkedin.com/in/myra4/', 'https://www.linkedin.com/in/avneet-ghotra-51284728/']",2020,10,"Toronto, Canada"
Voltic,Solar-powered shipping,https://www.ycombinator.com/companies/voltic,"['Prosser Cathey', 'Jared Boisvert', 'Hudson Hooper']","['https://www.linkedin.com/company/clyent-app/', 'https://www.linkedin.com/in/hudson-hooper/']",2022,5,San Francisco
Birch Biosciences,"We recycle plastic using engineered
                            enzymes",https://www.ycombinator.com/companies/birch-biosciences,['Johan Kers'],"['https://www.linkedin.com/company/birch-biosciences-llc', 'http://linkedin.com/in/johankers']",2021,8,"Portland, OR"
Paces,"Siting and Due Diligence of Green
                            Projects",https://www.ycombinator.com/companies/paces,"['James McWalter', 'Charles Bai']","['https://www.linkedin.com/company/pacesai', 'https://www.linkedin.com/in/jamesmcwalter/', 'https://www.linkedin.com/in/charlesxbai/']",2022,11,New York
Phoenix Hydrogen,"First commodity marketplace for
                            hydrogen.",https://www.ycombinator.com/companies/phoenix-hydrogen,"['Shawn Drost', 'Terence Vomocil']","['https://www.linkedin.com/company/72630957/', 'https://www.linkedin.com/in/shawndrost/', 'https://www.linkedin.com/in/terence-v-a5916151/']",2021,2,"Berkeley, CA"
Pina Earth,"Unlocking carbon markets for European
                            forest owners",https://www.ycombinator.com/companies/pina-earth,"['Gesa Biermann', 'Florian Fincke']","['https://www.linkedin.com/company/pina-de/', 'https://www.linkedin.com/in/gesabiermann/', 'https://www.linkedin.com/in/florian-fincke/']",2021,8,"Munich, Germany"
AirMyne,"Building systems to remove carbon
                            dioxide from air at industrial scale",https://www.ycombinator.com/companies/airmyne,"['Mark Cyffka', 'Sudip Mukhopadhyay']","['https://www.linkedin.com/company/77735406', 'https://www.linkedin.com/in/markcyffka/', 'https://www.linkedin.com/in/sudip/']",2022,11,"Berkeley, CA"
Impossible Metals,"Underwater robotic vehicles that
                            collect battery metals responsibly",https://www.ycombinator.com/companies/impossible-metals,"['Oliver Gunasekara', 'Jason Gillham', 'Renee Grogan']","['https://www.linkedin.com/company/74093268/admin/', 'https://www.linkedin.com/in/gunasekara/', 'https://www.linkedin.com/in/jason-gillham-31b23824/', 'https://www.linkedin.com/in/renee-grogan-a3646361/']",2020,20,"Pasadena, CA"
Verdn,"An API to bundle trackable climate
                            donations with any transaction.",https://www.ycombinator.com/companies/verdn,"['Christopher Mjelde', 'Rory McMeekin']","['https://www.linkedin.com/company/verdn/', 'https://www.linkedin.com/in/chrismjelde/', 'https://linkedin.com/in/roryjm/']",2020,4,"London, United Kingdom"
Glow Energy,"Unlocking Virtual Power Plants for
                            rental properties",https://www.ycombinator.com/companies/glow-energy,"['Greg Sirotek', 'Ross Gruber']","['https://www.linkedin.com/company/glowenergy', 'http://www.linkedin.com/in/gregsirotek', 'https://www.linkedin.com/in/rossgruber/']",2022,6,"Los Angeles, CA"
Carbon Crusher,We make carbon negative roads,https://www.ycombinator.com/companies/carbon-crusher,"['Haakon Brunell', 'Hans Arne Flåto', 'Kristoffer Roil']","['https://www.linkedin.com/company/carboncrusher', 'https://www.linkedin.com/in/haakonbrunell/', 'https://www.linkedin.com/in/hans-arne-fl%C3%A5to-0931764', 'https://no.linkedin.com/in/kroil']",2021,8,"Oslo, Norway"
Alga Biosciences,We stop cows from burping methane.,https://www.ycombinator.com/companies/alga-biosciences,"['Alexander Brown', 'Daria Balatsky', 'Caroline McKeon']","['https://www.linkedin.com/company/alga-biosciences', 'https://www.linkedin.com/in/alex-brown-5ba620113/', 'https://www.linkedin.com/in/daria-balatsky-842356121', 'https://www.linkedin.com/in/carolineamckeon/']",2021,6,"Berkeley, CA"
Posh,Making sustainable batteries,https://www.ycombinator.com/companies/posh,"['Wesley Zheng', 'Minh Chung Hoang']","['https://www.linkedin.com/company/posh-robotics', 'https://www.linkedin.com/in/wesley-zheng', 'https://www.linkedin.com/in/chung-hoang/']",2022,4,San Francisco
Phase Biolabs,"We make carbon negative chemicals
                            from CO2 using fermentation",https://www.ycombinator.com/companies/phase-biolabs,['David Ortega'],"['https://www.linkedin.com/company/phasebiolabs', 'https://www.linkedin.com/in/dave-ortega/']",2020,10,"Nottingham, United Kingdom"
Seabound,Carbon capture equipment for ships,https://www.ycombinator.com/companies/seabound,"['Alisha Fredriksson', 'Roujia Wen']","['https://www.linkedin.com/company/seabound/', 'https://www.linkedin.com/in/alishafredriksson/', 'https://www.linkedin.com/in/roujia-wen/']",2021,9,"London, United Kingdom"
Phykos,"Growing seaweed to stabilize the
                            climate.",https://www.ycombinator.com/companies/phykos,"['Nico Julian', 'Jeff Zerger']","['https://www.linkedin.com/in/nico-julian-77586111/', 'https://www.linkedin.com/in/jeff-zerger-8a49159/']",2020,2,San Francisco
Abatable,Carbon markets platform and solutions,https://www.ycombinator.com/companies/abatable,"['Maria Eugenia Filmanovic', 'Valerio Magliulo']","['https://www.linkedin.com/company/abatable', 'https://www.linkedin.com/in/mariafilmanovic/', 'https://www.linkedin.com/in/valerio-magliulo/']",2021,35,"London, United Kingdom"
Kapacity.io,"Reducing energy costs & emissions
                            in buildings.",https://www.ycombinator.com/companies/kapacity-io,"['Jaakko Rauhala', 'Rami El Geneidy', 'Sonja Salo']","['https://www.linkedin.com/company/kapacity-io/', 'https://www.linkedin.com/in/jaakko-rauhala/', 'https://www.linkedin.com/in/ramielgeneidy/', 'https://www.linkedin.com/in/sonja-salo/']",2020,7,"Helsinki, Finland"
Ferveret,"Liquid cooling solutions inspired by
                            nuclear power plant cooling.",https://www.ycombinator.com/companies/ferveret-inc,"['Reza Azizian', 'Matteo Bucci']","['https://www.linkedin.com/company/ferveret/', 'https://www.linkedin.com/in/reza-azizian-6821184a/', 'https://www.linkedin.com/in/matteo-bucci-10206b60']",2021,6,"San Jose, CA"
HeyCharge,"Low-cost, high-scale EV charging
                            platform for apartments (and more).",https://www.ycombinator.com/companies/heycharge,"['Chris Carde', 'Robert Lasowski']","['https://www.linkedin.com/company/heycharge', 'https://www.linkedin.com/in/pilotchris/', 'https://www.linkedin.com/in/dr-robert-lasowski-0b60077b/']",2020,17,"Munich, Germany"
Heimdal,Affordable and verified DAC,https://www.ycombinator.com/companies/heimdal,['Marcus Lima'],"['https://www.linkedin.com/company/72122978/', 'https://www.linkedin.com/in/marcus-lima-144974101/']",2020,10,"Denver, CO"
Nira Energy,"Software to find the best sites for
                            renewables on the electrical grid",https://www.ycombinator.com/companies/nira-energy,"['Chris Ariante', 'Andy Chen', 'Andrew Martin']","['https://www.linkedin.com/company/74744310/', 'https://www.linkedin.com/in/chris-ariante-9302804a/', 'https://www.linkedin.com/in/andy-chen-38596889/', 'https://www.linkedin.com/in/andrew-martin-539a5288/']",2021,14,
Enerjazz,"Making electric vehicle batteries
                            affordable",https://www.ycombinator.com/companies/enerjazz,"['Ravi Bharihoke', 'Pratik Ranjan Das']","['https://www.linkedin.com/company/18545573/admin/', 'https://www.linkedin.com/in/ravi-b-hiring-for-operations-and-tech-9a92a412/', 'https://www.linkedin.com/in/pratikrdas']",2021,9,"Delhi, India"
Carbonfact,Decarbonizing the fashion industry,https://www.ycombinator.com/companies/carbonfact,"['Marc Laurent', 'Romain Champourlier', 'Martin Daniel']","['https://www.linkedin.com/company/75770625/', 'https://www.linkedin.com/in/mrclrnt/', 'https://linkedin.com/rchampourlier?_l=en_US', 'https://www.linkedin.com/in/martindaniel4/']",2021,8,"Paris, France"
